Код сотрудника,Не важные миссии,Полезные миссии,Очень полезные миссии,Выполнил Креативный класс,Выполнил HiPo,Выполнил HiPro,Выполнил Звезда департамента,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст,Эффективность,Всего миссий,Среднее миссий на сотрудника,Продуктивность сотрудника
SU2686,59,1,0,False,False,False,False,Служба охраны,Не указано,Группа обеспечения контрольно-пропускного режима,Охранник,True,"18 г., 0 мес.,23 дн.",Мужской,46.0,False,60,20.005903574942604,0.05
SU2688,60,0,0,False,False,False,False,Служба охраны,Не указано,Группа обеспечения контрольно-пропускного режима,Охранник,True,"18 г., 0 мес.,5 дн.",Мужской,51.0,False,60,20.005903574942604,0.0
SU2692,2,1,0,False,False,False,False,Служба охраны,Не указано,Группа обеспечения контрольно-пропускного режима,Охранник,True,"14 г., 10 мес.,15 дн.",Мужской,45.0,False,3,20.005903574942604,0.05
SU2693,0,1,0,False,False,False,False,Служба охраны,Не указано,Группа обеспечения контрольно-пропускного режима,Охранник,True,"20 г., 3 мес.,24 дн.",Мужской,46.0,False,1,20.005903574942604,0.05
SU2696,0,3,0,False,False,False,False,Служба охраны,Не указано,Группа обслуживания бизнеса,Ответственный за вопросы обеспечения бизнеса,True,"20 г., 6 мес.,24 дн.",Мужской,41.0,False,3,20.005903574942604,0.15
SU2700,1,1,2,False,False,True,False,Департамент телекоммуникаций,Не указано,группа сетевых решений,Ведущий инженер,True,"23 г., 0 мес.,3 дн.",Мужской,52.0,False,4,20.005903574942604,0.16
SU2705,0,1,0,False,False,False,False,Транспортный отдел,Не указано,Группа обслуживания и сервиса,Водитель,True,"20 г., 6 мес.,24 дн.",Мужской,51.0,False,1,20.005903574942604,0.05
SU2707,0,1,0,False,False,False,False,Служба охраны,Не указано,Группа обеспечения контрольно-пропускного режима,Охранник,True,"19 г., 7 мес.,24 дн.",Мужской,68.0,False,1,20.005903574942604,0.05
SU271,0,1,0,False,False,False,False,Финансовый департамент,Не указано,группа финансовых партнеров,Финансовый партнёр,True,"18 г., 7 мес.,5 дн.",Женский,40.0,False,1,20.005903574942604,0.05
SU2712,0,1,0,False,False,False,False,Служба охраны,Не указано,Группа обеспечения контрольно-пропускного режима,Охранник,True,"19 г., 6 мес.,25 дн.",Мужской,44.0,False,1,20.005903574942604,0.05
SU2715,0,1,0,False,False,False,False,Служба охраны,Не указано,Группа обеспечения контрольно-пропускного режима,Охранник,True,"25 г., 4 мес.,24 дн.",Мужской,70.0,False,1,20.005903574942604,0.05
SU2717,47,1,0,False,False,False,False,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,Не указано,Техник,True,"20 г., 1 мес.,12 дн.",Мужской,47.0,False,48,20.005903574942604,0.05
SU2718,98,7,0,False,False,False,False,Служба охраны,Не указано,Группа обслуживания бизнеса,Охранник,True,"17 г., 1 мес.,19 дн.",Мужской,44.0,False,105,20.005903574942604,0.35
SU2722,2,3,1,True,False,False,False,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,Не указано,"Эксперт, Руководитель электролаборатории",True,"17 г., 11 мес.,18 дн.",Мужской,46.0,False,6,20.005903574942604,0.2
SU2723,0,1,0,False,False,False,False,Служба охраны,Не указано,Группа обслуживания бизнеса,Ответственный за общие вопросы и объекты,True,"25 г., 2 мес.,5 дн.",Мужской,69.0,False,1,20.005903574942604,0.05
SU2724,75,1,0,False,False,False,False,Служба охраны,Не указано,Группа обеспечения контрольно-пропускного режима,Охранник,True,"20 г., 9 мес.,20 дн.",Мужской,46.0,False,76,20.005903574942604,0.05
SU2728,0,1,0,False,False,False,False,Транспортный отдел,Не указано,Группа обслуживания и сервиса,Водитель,True,"25 г., 4 мес.,24 дн.",Мужской,51.0,False,1,20.005903574942604,0.05
SU2734,81,4,1,False,True,False,False,Служба логистики,Не указано,Не указано,Ведущий менеджер,True,"18 г., 2 мес.,29 дн.",Мужской,45.0,False,86,20.005903574942604,0.25
SU2735,0,3,1,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,True,"19 г., 8 мес.,28 дн.",Мужской,42.0,False,4,20.005903574942604,0.2
SU2736,1,3,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа технических менеджеров,Старший менеджер по продвижению решений,True,"20 г., 4 мес.,30 дн.",Мужской,49.0,False,4,20.005903574942604,0.15
SU274,1,2,0,False,False,False,False,Департамент телекоммуникаций,Не указано,Группа поддержки продаж сетевых решений,Руководитель направления,True,"17 г., 6 мес.,23 дн.",Мужской,45.0,False,3,20.005903574942604,0.1
SU2749,3,2,2,True,True,False,True,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами развития бизнес-процессов,Старший менеджер проектов,True,"4 г., 2 мес.,28 дн.",Мужской,41.0,False,7,20.005903574942604,0.21
SU2771,0,1,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Директор по комплексным продажам,True,"21 г., 0 мес.,12 дн.",Мужской,43.0,False,1,20.005903574942604,0.05
SU2774,67,1,2,False,False,True,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по техническому консалтингу,Руководитель комплексных проектов,True,"22 г., 10 мес.,24 дн.",Мужской,52.0,False,70,20.005903574942604,0.16
SU2779,1,2,1,False,False,True,False,Департамент телекоммуникаций,Не указано,группа сетевых решений,Ведущий инженер,True,"22 г., 7 мес.,3 дн.",Мужской,47.0,False,4,20.005903574942604,0.15
SU2785,1,3,2,True,False,True,False,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа тестировщиков,Руководитель группы,True,"18 г., 1 мес.,6 дн.",Мужской,39.0,False,6,20.005903574942604,0.26
SU2802,1,0,0,False,False,False,False,Служба охраны,Не указано,Группа обеспечения контрольно-пропускного режима,Охранник,True,"18 г., 0 мес.,23 дн.",Мужской,50.0,False,1,20.005903574942604,0.0
SU2841,0,1,0,False,False,False,False,Служба охраны,Не указано,Группа обеспечения контрольно-пропускного режима,Охранник,True,"19 г., 8 мес.,17 дн.",Мужской,68.0,False,1,20.005903574942604,0.05
SU2988,72,1,2,True,False,False,False,Финансовый департамент,Не указано,группа финансовых партнеров,Финансовый партнёр,True,"16 г., 8 мес.,30 дн.",Женский,40.0,False,75,20.005903574942604,0.16
SU2992,0,6,0,False,False,False,False,Департамент разработки программного обеспечения,"Практика ""Time and Material""",группа тестировщиков,Старший инженер-тестировщик,True,"17 г., 0 мес.,24 дн.",Женский,41.0,False,6,20.005903574942604,0.3
SU3022,0,13,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа развития бизнеса,Ведущий менеджер по работе с партнерами,True,"17 г., 5 мес.,11 дн.",Женский,37.0,True,13,20.005903574942604,0.65
SU306,6,15,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Заместитель директора департамента по оперативным вопросам,True,"19 г., 9 мес.,14 дн.",Женский,41.0,True,21,20.005903574942604,0.75
SU3067,0,10,1,True,False,False,False,Департамент разработки программного обеспечения,"Практика ""Time and Material""",Не указано,Технический менеджер,True,"16 г., 4 мес.,7 дн.",Мужской,41.0,True,11,20.005903574942604,0.55
SU311,1,2,0,False,False,False,False,Финансовый департамент,Не указано,группа финансовых партнеров,Финансовый партнёр,True,"20 г., 8 мес.,6 дн.",Женский,45.0,False,3,20.005903574942604,0.1
SU3140,4,2,4,True,False,True,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа технических менеджеров по информационной безопасности,Старший технический менеджер,True,"16 г., 4 мес.,15 дн.",Мужской,45.0,False,10,20.005903574942604,0.32
SU315,0,1,1,False,True,False,False,Департамент телекоммуникаций,Не указано,Не указано,Руководитель направления,True,"21 г., 4 мес.,2 дн.",Мужской,42.0,False,2,20.005903574942604,0.1
SU3154,1,3,1,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа менеджеров по работе с корпоративными клиентами,Руководитель группы,True,"16 г., 10 мес.,13 дн.",Мужской,37.0,False,5,20.005903574942604,0.2
SU316,30,4,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по вычислительной инфраструктуре ЦОД,Менеджер проектов,True,"23 г., 0 мес.,24 дн.",Мужской,48.0,False,34,20.005903574942604,0.2
SU3162,2,2,1,False,False,True,False,Департамент разработки программного обеспечения,Управление контентом и документооборот,Не указано,Руководитель практики,True,"18 г., 10 мес.,30 дн.",Мужской,46.0,False,5,20.005903574942604,0.15
SU3164,0,2,0,False,False,False,False,Служба охраны,Не указано,Группа обеспечения контрольно-пропускного режима,Охранник,True,"18 г., 0 мес.,23 дн.",Мужской,41.0,False,2,20.005903574942604,0.1
SU3169,4,12,2,False,False,True,False,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Менеджер по тестированию,True,"21 г., 0 мес.,3 дн.",Женский,40.0,True,18,20.005903574942604,0.71
SU3176,6,8,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа тестировщиков,Ведущий инженер-тестировщик,True,"17 г., 10 мес.,21 дн.",Женский,37.0,False,14,20.005903574942604,0.4
SU3179,10,2,0,False,False,False,False,Финансовый департамент,Не указано,отдел учета товаров и взаиморасчетов с поставщиками,Бухгалтер,True,"21 г., 7 мес.,27 дн.",Женский,44.0,False,12,20.005903574942604,0.1
SU3180,1,0,1,False,False,False,False,Финансовый департамент,отдел налоговой и бухгалтерской отчетности,Не указано,Главный бухгалтер,True,"23 г., 11 мес.,24 дн.",Женский,53.0,False,2,20.005903574942604,0.05
SU319,58,19,2,False,False,False,False,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,"Эксперт, Руководитель группы",True,"18 г., 1 мес.,21 дн.",Мужской,52.0,True,79,20.005903574942604,1.06
SU3200,0,7,0,False,False,False,False,Департамент бизнес-приложений,Не указано,Группа аналитиков и консультантов по внедрению Big Data и BI,Ведущий консультант по внедрению бизнес-приложений,True,"15 г., 6 мес.,8 дн.",Женский,40.0,False,7,20.005903574942604,0.35
SU3203,0,2,0,True,False,False,False,Отдел подготовки тендеров,Не указано,Не указано,Ведущий менеджер по работе с тендерами,True,"20 г., 1 мес.,1 дн.",Женский,42.0,False,2,20.005903574942604,0.1
SU3207,5,1,0,False,False,False,False,Финансовый департамент,расчетно-аналитическая группа по вопросам экономики и финансов бизнеса,Не указано,Бухгалтер,True,"17 г., 10 мес.,10 дн.",Женский,64.0,False,6,20.005903574942604,0.05
SU3210,0,0,1,True,False,False,False,Финансовый департамент,Не указано,отдел по расчету с персоналом,Эксперт по организации деловых поездок,True,"21 г., 0 мес.,3 дн.",Женский,43.0,False,1,20.005903574942604,0.05
SU3218,75,19,2,False,False,True,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,Менеджер проектов по качеству,True,"19 г., 7 мес.,16 дн.",Женский,42.0,True,96,20.005903574942604,1.06
SU3220,2,1,0,False,False,False,False,Служба качества,Не указано,Не указано,Руководитель службы качества,True,"23 г., 6 мес.,24 дн.",Женский,56.0,False,3,20.005903574942604,0.05
SU3224,48,21,3,True,False,True,False,Служба сопровождения проектной документации,Не указано,Не указано,Ведущий технический писатель,True,"19 г., 0 мес.,8 дн.",Женский,41.0,True,72,20.005903574942604,1.21
SU3227,1,1,0,False,False,False,False,Служба охраны,Не указано,Группа обеспечения контрольно-пропускного режима,Ответственный за администрирование систем контроля доступа,True,"17 г., 2 мес.,25 дн.",Мужской,40.0,False,2,20.005903574942604,0.05
SU3238,2,1,1,True,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа администраторов проектов по инженерным и мультимедийным системам,Заместитель директора департамента по проектной деятельности,True,"17 г., 10 мес.,20 дн.",Женский,45.0,False,4,20.005903574942604,0.1
SU3240,6,1,0,False,False,False,False,Финансовый департамент,казначейство,Не указано,Старший бухгалтер,True,"17 г., 6 мес.,23 дн.",Женский,42.0,False,7,20.005903574942604,0.05
SU3248,1,17,1,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа аналитиков и внедренцев,Эксперт,True,"18 г., 6 мес.,15 дн.",Женский,52.0,True,19,20.005903574942604,0.9
SU3250,1,1,0,False,False,False,False,Департамент телекоммуникаций,Не указано,группа поддержки продаж решений,Менеджер проектов,True,"19 г., 10 мес.,19 дн.",Женский,47.0,False,2,20.005903574942604,0.05
SU3259,1,2,0,False,False,False,False,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,Не указано,Эксперт,True,"16 г., 11 мес.,6 дн.",Женский,40.0,False,3,20.005903574942604,0.1
SU3264,7,5,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по разработке программных решений,Старший менеджер проектов,True,"16 г., 11 мес.,24 дн.",Женский,40.0,False,12,20.005903574942604,0.25
SU3269,0,12,1,False,False,True,False,Служба качества,Не указано,Не указано,Менеджер проектов по качеству,True,"17 г., 4 мес.,5 дн.",Женский,41.0,True,13,20.005903574942604,0.65
SU3272,0,11,0,False,False,False,False,Департамент внутренней автоматизации,Не указано,группа разработки инфраструктурных приложений,Ведущий инженер-разработчик,True,"18 г., 9 мес.,2 дн.",Женский,43.0,True,11,20.005903574942604,0.55
SU3274,0,2,0,False,False,False,False,Департамент по работе с персоналом,Не указано,HR-партнеры,HR-партнер,True,"3 г., 3 мес.,3 дн.",Женский,45.0,False,2,20.005903574942604,0.1
SU3278,0,1,2,True,False,False,False,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,Не указано,Финансовый аналитик,True,"19 г., 8 мес.,17 дн.",Женский,42.0,False,3,20.005903574942604,0.16
SU3282,0,1,0,False,False,False,False,Департамент телекоммуникаций,Не указано,группа поддержки продаж решений,"Менеджер по работе с партнерами, Менеджер по работе с вендором Cisco Systems",True,"18 г., 5 мес.,7 дн.",Женский,40.0,False,1,20.005903574942604,0.05
SU329,4,2,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Директор по работе с корпоративными клиентами,True,"18 г., 7 мес.,2 дн.",Мужской,45.0,False,6,20.005903574942604,0.1
SU3291,1,4,0,False,False,False,False,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа аналитиков,Ведущий аналитик,True,"20 г., 9 мес.,24 дн.",Женский,45.0,False,5,20.005903574942604,0.2
SU3297,67,12,1,True,False,False,False,Департамент разработки программного обеспечения,Продуктовый офис,Не указано,Менеджер продукта,True,"16 г., 9 мес.,16 дн.",Женский,40.0,True,80,20.005903574942604,0.65
SU3299,61,2,0,False,False,False,False,Финансовый департамент,Не указано,группа финансовых партнеров,Финансовый партнёр,True,"17 г., 0 мес.,14 дн.",Женский,38.0,False,63,20.005903574942604,0.1
SU3305,0,1,0,False,False,False,False,Финансовый департамент,Не указано,Не указано,"Зам директора департамента по налоговым вопросам и бухгалтерской отчетности, Главный бухгалтер",True,"29 г., 7 мес.,24 дн.",Женский,54.0,False,1,20.005903574942604,0.05
SU331,154,22,2,False,False,True,False,Департамент разработки программного обеспечения,Не указано,группа развития бизнеса,Ведущий инженер-разработчик,True,"20 г., 1 мес.,17 дн.",Мужской,47.0,True,178,20.005903574942604,1.21
SU3312,0,1,0,False,False,False,False,Финансовый департамент,Не указано,отдел учета товаров и взаиморасчетов с поставщиками,Бухгалтер,True,"16 г., 0 мес.,15 дн.",Женский,45.0,False,1,20.005903574942604,0.05
SU3316,0,1,0,False,False,False,False,Администрация,Не указано,Не указано,Директор  департамента,True,"23 г., 7 мес.,24 дн.",Женский,46.0,False,1,20.005903574942604,0.05
SU3318,7,2,2,True,False,False,False,Департамент инженерных и мультимедийных систем,Не указано,Не указано,Финансовый аналитик,True,"19 г., 1 мес.,24 дн.",Женский,40.0,False,11,20.005903574942604,0.21
SU3332,33,1,0,False,False,False,False,Transformation office,Не указано,Не указано,Старший консультант по трансформации бизнеса,True,"20 г., 6 мес.,18 дн.",Женский,43.0,False,34,20.005903574942604,0.05
SU3333,4,2,0,False,False,False,False,Служба логистики,Не указано,Не указано,Ведущий менеджер,True,"19 г., 1 мес.,16 дн.",Женский,41.0,False,6,20.005903574942604,0.1
SU3334,1,15,3,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа сметчиков,Эксперт,True,"21 г., 9 мес.,12 дн.",Женский,45.0,True,19,20.005903574942604,0.91
SU334,1,2,2,False,False,True,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по инженерным и мультимедийным системам,Старший менеджер проектов,True,"25 г., 7 мес.,24 дн.",Мужской,51.0,False,5,20.005903574942604,0.21
SU3347,3,2,1,False,False,False,False,Финансовый департамент,отдел расчетов с подрядчиками и учета затрат,Не указано,"Ведущий бухгалтер, Тимлид отдела расчетов с подрядчиками и поставщиками",True,"21 г., 2 мес.,21 дн.",Женский,44.0,False,6,20.005903574942604,0.15
SU337,1,1,1,True,False,False,False,Департамент телекоммуникаций,Не указано,группа сетевых решений,"Эксперт, Тимлид",True,"16 г., 11 мес.,3 дн.",Мужской,39.0,False,3,20.005903574942604,0.1
SU3372,18,11,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,Не указано,Ведущий системный инженер,True,"22 г., 1 мес.,9 дн.",Мужской,43.0,True,29,20.005903574942604,0.55
SU3378,0,19,2,False,True,False,False,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по сопровождению программной инфраструктуры,Не указано,Технический менеджер,True,"18 г., 2 мес.,1 дн.",Мужской,40.0,True,21,20.005903574942604,1.06
SU3381,2,13,2,False,False,True,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа развития бизнеса,Руководитель группы,True,"18 г., 4 мес.,20 дн.",Мужской,44.0,True,17,20.005903574942604,0.76
SU3389,1,3,2,False,False,True,False,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,Не указано,Эксперт,True,"18 г., 9 мес.,2 дн.",Мужской,42.0,False,6,20.005903574942604,0.26
SU33903,298,4,3,True,False,False,False,Департамент инфраструктурных решений и сервисов,группа развития направления “Управление ИТ-процессами”,Не указано,Менеджер по продвижению решений,True,"4 г., 6 мес.,27 дн.",Женский,38.0,False,305,20.005903574942604,0.36
SU342,0,1,0,False,False,False,False,Департамент телекоммуникаций,Не указано,группа поддержки продаж решений,Менеджер по продвижению решений,True,"20 г., 6 мес.,25 дн.",Мужской,51.0,False,1,20.005903574942604,0.05
SU343,0,1,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Директор по работе с корпоративными клиентами,True,"17 г., 6 мес.,23 дн.",Мужской,39.0,False,1,20.005903574942604,0.05
SU3461,4,1,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,Не указано,Руководитель практики Частных облаков,True,"15 г., 11 мес.,18 дн.",Мужской,36.0,False,5,20.005903574942604,0.05
SU34623,0,18,0,False,False,False,False,Департамент внутренней автоматизации,Не указано,группа системных администраторов,Старший инженер,True,"15 г., 0 мес.,25 дн.",Мужской,39.0,True,18,20.005903574942604,0.9
SU3469,28,6,0,False,False,False,False,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",Не указано,Старший инженер,True,"17 г., 6 мес.,2 дн.",Мужской,38.0,False,34,20.005903574942604,0.3
SU3476,8,3,1,False,False,False,False,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",Не указано,Старший инженер,True,"16 г., 8 мес.,14 дн.",Мужской,36.0,False,12,20.005903574942604,0.2
SU34763,0,2,2,True,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа развития бизнеса,"Старший менеджер проектов, Руководитель направления",True,"15 г., 0 мес.,24 дн.",Мужской,37.0,False,4,20.005903574942604,0.21
SU3478,13,6,0,True,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по разработке программных решений,Менеджер проектов,True,"16 г., 5 мес.,21 дн.",Мужской,35.0,False,19,20.005903574942604,0.3
SU34826,0,1,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по вычислительной инфраструктуре,Не указано,Ведущий технический писатель,True,"15 г., 0 мес.,25 дн.",Женский,35.0,False,1,20.005903574942604,0.05
SU3493,0,2,2,False,False,True,False,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,Не указано,Руководитель практики Технического консалтинга,True,"18 г., 8 мес.,3 дн.",Мужской,40.0,False,4,20.005903574942604,0.21
SU3502,2,4,4,False,False,True,False,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,Не указано,"Старший технический менеджер, Руководитель группы",True,"19 г., 10 мес.,13 дн.",Мужской,47.0,False,10,20.005903574942604,0.42
SU3509,2,0,0,False,False,False,False,Служба охраны,Не указано,Группа обеспечения контрольно-пропускного режима,Охранник,True,"19 г., 4 мес.,8 дн.",Мужской,43.0,False,2,20.005903574942604,0.0
SU351,0,1,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Директор по работе с корпоративными клиентами,True,"18 г., 7 мес.,12 дн.",Мужской,40.0,False,1,20.005903574942604,0.05
SU3512,5,2,2,False,False,True,False,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,Не указано,Руководитель группы,True,"16 г., 8 мес.,14 дн.",Мужской,40.0,False,9,20.005903574942604,0.21
SU35128,0,4,1,True,True,False,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по вычислительной инфраструктуре ЦОД,Менеджер проектов,True,"15 г., 0 мес.,11 дн.",Женский,38.0,False,5,20.005903574942604,0.25
SU3514,2,5,2,True,False,True,False,Департамент инженерных и мультимедийных систем,Технические менеджеры по мультимедийным системам,Не указано,Технический менеджер,True,"21 г., 2 мес.,22 дн.",Мужской,44.0,False,9,20.005903574942604,0.36
SU35184,0,0,1,False,False,True,False,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,Не указано,Финансовый аналитик,True,"15 г., 0 мес.,6 дн.",Женский,39.0,False,1,20.005903574942604,0.05
SU3526,0,2,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,Не указано,Эксперт,True,"21 г., 0 мес.,2 дн.",Мужской,43.0,False,2,20.005903574942604,0.1
SU35266,0,7,1,False,False,True,False,Департамент инженерных и мультимедийных систем,группа сервиса,Не указано,Ведущий инженер,True,"15 г., 0 мес.,5 дн.",Мужской,41.0,False,8,20.005903574942604,0.4
SU3535,5,4,8,False,False,True,False,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Руководитель группы,True,"18 г., 7 мес.,2 дн.",Мужской,40.0,True,17,20.005903574942604,0.64
SU3546,0,1,1,False,False,False,False,Департамент разработки программного обеспечения,"Практика ""Роботехника""",Не указано,Технический менеджер,True,"22 г., 7 мес.,19 дн.",Мужской,46.0,False,2,20.005903574942604,0.1
SU35490,8,13,1,False,False,True,False,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа тестировщиков,Инженер-тестировщик,True,"14 г., 11 мес.,23 дн.",Женский,37.0,True,22,20.005903574942604,0.7
SU355,1,2,1,False,False,True,False,Департамент инфраструктурных решений и сервисов,Не указано,группа UNIX и Open Source,Технический менеджер,True,"12 г., 5 мес.,5 дн.",Мужской,42.0,False,4,20.005903574942604,0.15
SU3551,114,7,2,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по программной инфраструктуре,Не указано,Менеджер по продвижению решений,True,"16 г., 11 мес.,6 дн.",Мужской,40.0,False,123,20.005903574942604,0.46
SU3554,4,2,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Директор по работе с корпоративными клиентами,True,"17 г., 11 мес.,6 дн.",Мужской,39.0,False,6,20.005903574942604,0.1
SU35566,0,0,2,True,False,True,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Технический директор направления облачных сервисов,True,"14 г., 2 мес.,10 дн.",Мужской,37.0,False,2,20.005903574942604,0.11
SU356,0,3,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Директор по комплексным продажам,True,"21 г., 0 мес.,19 дн.",Мужской,45.0,False,3,20.005903574942604,0.15
SU357,0,2,0,False,False,False,False,Служба логистики,Не указано,Не указано,Ведущий менеджер,True,"26 г., 1 мес.,24 дн.",Мужской,50.0,False,2,20.005903574942604,0.1
SU35863,65,13,1,False,False,False,False,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа аналитиков,Ведущий аналитик,True,"14 г., 9 мес.,7 дн.",Женский,42.0,True,79,20.005903574942604,0.7
SU360,2,16,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,Не указано,"Ведущий сервис-менеджер, Тимлид",True,"25 г., 1 мес.,24 дн.",Мужской,58.0,True,18,20.005903574942604,0.8
SU36043,2,1,1,False,False,True,False,Департамент телекоммуникаций,Не указано,группа сетевых решений,Руководитель группы,True,"12 г., 11 мес.,26 дн.",Мужской,39.0,False,4,20.005903574942604,0.1
SU361,0,25,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа технических менеджеров,Технический менеджер,True,"17 г., 8 мес.,26 дн.",Мужской,40.0,True,25,20.005903574942604,1.25
SU3619,4,2,1,False,True,False,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по построению корпоративных систем,Руководитель комплексных проектов,True,"19 г., 3 мес.,12 дн.",Мужской,37.0,False,7,20.005903574942604,0.15
SU362,0,2,0,False,False,False,False,Транспортный отдел,Не указано,Группа обслуживания и сервиса,Водитель,True,"17 г., 3 мес.,23 дн.",Мужской,50.0,False,2,20.005903574942604,0.1
SU3621,0,4,0,False,False,False,False,Департамент внутренней автоматизации,Не указано,группа системных администраторов,Ведущий инженер,True,"23 г., 8 мес.,26 дн.",Мужской,45.0,False,4,20.005903574942604,0.2
SU3622,0,1,0,False,False,False,False,Департамент телекоммуникаций,Сервис,Не указано,Руководитель группы,True,"18 г., 3 мес.,22 дн.",Мужской,42.0,False,1,20.005903574942604,0.05
SU3628,12,10,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,Не указано,Руководитель группы,True,"16 г., 3 мес.,6 дн.",Мужской,46.0,False,22,20.005903574942604,0.5
SU364,1,0,1,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Заместитель генерального директора по работе с корпоративными клиентами,True,"22 г., 10 мес.,7 дн.",Мужской,48.0,False,2,20.005903574942604,0.05
SU3646,0,1,0,False,False,False,False,Администрация,Не указано,Не указано,Директор  департамента,True,"27 г., 1 мес.,30 дн.",Женский,52.0,False,1,20.005903574942604,0.05
SU3651,1,0,0,False,False,False,False,Служба охраны,Не указано,Группа обеспечения контрольно-пропускного режима,Охранник,True,"24 г., 4 мес.,24 дн.",Мужской,51.0,False,1,20.005903574942604,0.0
SU36663,0,23,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,Не указано,Старший сервис-менеджер,True,"14 г., 10 мес.,4 дн.",Женский,39.0,True,23,20.005903574942604,1.15
SU367,1,5,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по сопровождению программной инфраструктуры,Не указано,Технический менеджер,True,"21 г., 0 мес.,1 дн.",Мужской,42.0,False,6,20.005903574942604,0.25
SU36783,1,2,3,True,False,True,False,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,Не указано,"Руководитель направления ""Инфраструктурные решения""",True,"14 г., 9 мес.,12 дн.",Мужской,37.0,False,6,20.005903574942604,0.26
