Внешний код,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст
SU199835,Департамент разработки программного обеспечения,Государственные информационные системы,финтех,Стажер,нет,"0 г., 1 мес.,6 дн.",Мужской,22
SU106538,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа тех.поддержки",Инженер,нет,"5 г., 11 мес.,24 дн.",Мужской,35
SU101790,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа аналитиков",Системный аналитик,нет,"6 г., 3 мес.,9 дн.",Женский,32
SU180438,Департамент инфраструктурных решений и сервисов,,группа развития и сопровождения частных облаков,Технический менеджер,нет,"2 г., 10 мес.,3 дн.",Мужской,37
SU199430,Департамент по работе с персоналом,отдел рекрутинга,,Стажер,нет,"0 г., 2 мес.,20 дн.",Женский,20
SU163439,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа аналитиков,Системный аналитик,нет,"3 г., 5 мес.,8 дн.",Мужской,30
SU54978,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Ведущий инженер-разработчик,нет,"12 г., 3 мес.,21 дн.",Мужской,51
SU1359,Transformation office,,,Старший консультант по трансформации бизнеса,нет,"18 г., 10 мес.,24 дн.",Женский,41
SU136771,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Сервис-менеджер,нет,"4 г., 9 мес.,15 дн.",Женский,38
SU42104,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,"Руководитель группы, Технический менеджер",РМ,"13 г., 10 мес.,17 дн.",Мужской,38
SU196964,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа специалистов поддержки ИТ-инфраструктур,Младший дежурный специалист,нет,"1 г., 3 мес.,21 дн.",Мужской,21
SU197283,Департамент инфраструктурных решений и сервисов,группа администраторов сервисных проектов,,Младший администратор проектов,нет,"1 г., 1 мес.,27 дн.",Женский,21
SU153522,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Младший менеджер эксплуатации,нет,"3 г., 11 мес.,23 дн.",Мужской,33
SU153901,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,"Старший сервис-менеджер, Тимлид",ТЛ,"3 г., 11 мес.,16 дн.",Мужской,27
SU86577,Департамент инфраструктурных решений и сервисов,группа клиентского сервиса,,Специалист,нет,"8 г., 6 мес.,6 дн.",Женский,30
SU199523,Департамент продаж и менеджмента проектов,,группа отраслевых решений,Директор по отраслевым решениям,нет,"0 г., 1 мес.,8 дн.",Женский,45
SU199591,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Стажер,нет,"0 г., 2 мес.,11 дн.",Мужской,20
SU189632,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,нет,"2 г., 2 мес.,21 дн.",Мужской,27
SU190481,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,Младший сервис-менеджер,нет,"2 г., 1 мес.,25 дн.",Женский,22
SU197510,Департамент бизнес-приложений,группа поддержки продаж,,Специалист по продвижению решений,нет,"1 г., 0 мес.,30 дн.",Женский,22
SU245,Департамент продаж и менеджмента проектов,,группа продаж,Директор по комплексным продажам,нет,"20 г., 10 мес.,16 дн.",Мужской,44
SU69108,Департамент маркетинга,группа маркетологов,,Руководитель группы по стратегическому развитию брендов,нет,"11 г., 0 мес.,8 дн.",Женский,34
SU174359,Департамент инженерных и мультимедийных систем,технические менеджеры по инженерным системам,,Технический менеджер,нет,"1 г., 9 мес.,21 дн.",Мужской,38
SU199226,Департамент разработки программного обеспечения,,группа развития бизнеса,Младший консультант по трансформации бизнеса,нет,"0 г., 3 мес.,29 дн.",Мужской,23
SU196985,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Системный инженер,нет,"1 г., 3 мес.,15 дн.",Мужской,25
SU199067,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,Младший системный инженер,нет,"0 г., 3 мес.,1 дн.",Мужской,21
SU154792,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Эксперт,нет,"3 г., 11 мес.,2 дн.",Мужской,34
SU165756,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"3 г., 3 мес.,11 дн.",Мужской,39
SU192589,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Инженер-диспетчер,нет,"2 г., 0 мес.,6 дн.",Мужской,48
SU196858,Департамент телекоммуникаций,Цифровое производство,группа поддержки продаж цифрового производства,Менеджер по продвижению решений,нет,"1 г., 3 мес.,22 дн.",Мужской,32
SU197788,Отдел подготовки тендеров,,,Менеджер по работе с тендерами,нет,"0 г., 11 мес.,17 дн.",Женский,35
SU174404,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,,Старший системный аналитик,нет,"3 г., 0 мес.,14 дн.",Женский,29
SU2767,Департамент избирательных технологий,,,"Заместитель директора департамента, Директор по работе с корпоративными клиентами, Руководитель направления ""Производство, сервис и применение спецоборудования""",нет,"26 г., 7 мес.,23 дн.",Мужской,57
SU127213,Департамент продаж и менеджмента проектов,Отдел расчётов с клиентами,,Специалист,нет,"5 г., 1 мес.,19 дн.",Женский,27
SU198404,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Младший инженер,нет,"0 г., 6 мес.,30 дн.",Мужской,26
SU198362,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки продаж облачных сервисов,Младший специалист по продвижению решений,нет,"0 г., 7 мес.,28 дн.",Мужской,20
SU150542,Департамент по работе с персоналом,,Развитие бренда работодателя,"Ведущий менеджер по развитию бренда работодателя, Тимлид по развитию бренда работодателя",РМ,"4 г., 1 мес.,11 дн.",Женский,29
SU199934,Департамент продаж и менеджмента проектов,,группа управления проектами развития бизнес-процессов,Старший менеджер проектов,нет,"0 г., 0 мес.,4 дн.",Мужской,38
SU142059,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа внедренцев,Консультант по внедрению,нет,"4 г., 6 мес.,25 дн.",Мужской,28
SU197958,Департамент разработки программного обеспечения,"Практика ""Time and Material""",,Специалист,нет,"0 г., 10 мес.,18 дн.",Женский,23
SU117873,Департамент телекоммуникаций,,группа технических менеджеров,Технический менеджер,нет,"5 г., 5 мес.,12 дн.",Мужской,38
SU90235,Департамент продаж и менеджмента проектов,,группа администраторов BackOffice,Ведущий администратор проектов,нет,"7 г., 11 мес.,4 дн.",Женский,28
SU197054,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,нет,"1 г., 3 мес.,7 дн.",Женский,30
SU197908,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,,Менеджер по продвижению решений,нет,"0 г., 10 мес.,14 дн.",Мужской,30
SU85437,Департамент инженерных и мультимедийных систем,группа инженеров по мультимедийным системам,,Инженер,нет,"8 г., 8 мес.,17 дн.",Женский,32
SU198371,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа маркетинга,Младший менеджер по событийному маркетингу,нет,"0 г., 7 мес.,14 дн.",Женский,21
SU190237,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Инженер,нет,"2 г., 2 мес.,3 дн.",Мужской,25
SU199565,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,,Стажер,нет,"0 г., 2 мес.,17 дн.",Мужской,22
SU199282,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"0 г., 3 мес.,20 дн.",Мужской,34
SU194943,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Старший инженер технической поддержки,нет,"1 г., 10 мес.,27 дн.",Мужской,23
SU198476,Департамент бизнес-приложений,,группа консультантов по финансам,Стажер,нет,"0 г., 7 мес.,10 дн.",Женский,20
SU154452,Департамент продаж и менеджмента проектов,,группа администраторов проектов по ИТ-системам и программным решениям,Администратор проектов,нет,"3 г., 11 мес.,8 дн.",Женский,32
SU196626,Департамент телекоммуникаций,,группа сетевых решений,Младший инженер,нет,"1 г., 5 мес.,29 дн.",Мужской,22
SU92235,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа аналитиков и внедренцев,Младший системный аналитик,нет,"7 г., 6 мес.,4 дн.",Женский,28
SU198882,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Стажер,нет,"0 г., 5 мес.,19 дн.",Мужской,21
SU41200,Административно-эксплуатационный департамент,Административный отдел,,Администратор,нет,"14 г., 1 мес.,2 дн.",Мужской,37
SU196909,Департамент бизнес-приложений,,группа консультантов по производству,Младший консультант по внедрению бизнес-приложений,нет,"1 г., 3 мес.,29 дн.",Женский,23
SU76378,Служба сопровождения проектной документации,,,Технический писатель,нет,"8 г., 11 мес.,16 дн.",Женский,40
SU70353,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа внедренцев,Старший консультант по внедрению,нет,"10 г., 10 мес.,7 дн.",Мужской,32
SU174144,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа внедренцев,Консультант по внедрению,нет,"3 г., 0 мес.,18 дн.",Мужской,29
SU196741,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа поддержки продаж решений по информационной безопасности,Менеджер по продвижению решений,нет,"1 г., 4 мес.,26 дн.",Мужской,31
SU198879,Отдел дизайна,,,Старший дизайнер,нет,"0 г., 5 мес.,5 дн.",Женский,25
SU139631,Департамент инфраструктурных решений и сервисов,группа администраторов сервисных проектов,,Старший администратор проектов,ТЛ,"4 г., 8 мес.,13 дн.",Женский,26
SU197020,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Системный инженер,нет,"1 г., 2 мес.,1 дн.",Мужской,32
SU196633,Департамент по работе с персоналом,,Геймификация,Менеджер по развитию корпоративной культуры,нет,"1 г., 5 мес.,29 дн.",Женский,22
SU146744,Департамент продаж и менеджмента проектов,,группа администраторов BackOffice,Ведущий администратор проектов,нет,"4 г., 3 мес.,9 дн.",Женский,31
SU1902,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,,Ведущий инженер,нет,"19 г., 8 мес.,11 дн.",Мужской,43
SU104859,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Эксперт,РМ,"6 г., 0 мес.,24 дн.",Мужской,39
SU126042,Департамент продаж и менеджмента проектов,,группа управления проектами по инженерным и мультимедийным системам,Руководитель группы,РМ,"5 г., 1 мес.,28 дн.",Мужской,42
SU75347,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа технических менеджеров,Технический менеджер,нет,"5 г., 9 мес.,16 дн.",Мужской,36
SU137158,Департамент разработки программного обеспечения,,группа развития бизнеса,Ведущий аналитик,РМ,"4 г., 9 мес.,16 дн.",Мужской,37
SU199486,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по программной инфраструктуре,,Технический менеджер,нет,"0 г., 2 мес.,20 дн.",Мужской,35
SU199692,Департамент телекоммуникаций,Цифровое производство,группа поддержки продаж цифрового производства,Специалист по продвижению решений,нет,"0 г., 1 мес.,23 дн.",Женский,23
SU198249,Департамент телекоммуникаций,Сервис,Первая линия,Стажер,нет,"0 г., 8 мес.,18 дн.",Мужской,22
SU173702,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Старший инженер-тестировщик,нет,"3 г., 0 мес.,24 дн.",Мужской,34
SU156747,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,,Инженер технической поддержки,нет,"3 г., 9 мес.,12 дн.",Мужской,25
SU188752,Департамент разработки программного обеспечения,Государственные информационные системы,финтех.группа аналитиков,Системный аналитик,ТЛ,"2 г., 3 мес.,7 дн.",Женский,23
SU69523,Правовой департамент,группа Корпоративного сопровождения,,Ведущий юрист,нет,"10 г., 11 мес.,27 дн.",Мужской,36
SU115349,Департамент по работе с персоналом,отдел рекрутинга,,Ведущий HR-менеджер,нет,"5 г., 6 мес.,23 дн.",Женский,37
SU197372,Правовой департамент,группа комплексного сопровождения проектов,,Младший юрист,нет,"1 г., 1 мес.,27 дн.",Женский,25
SU162422,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Инженер,нет,"3 г., 5 мес.,14 дн.",Мужской,30
SU1573,Департамент инфраструктурных решений и сервисов,,группа SRE-инженеров,Ведущий инженер,нет,"17 г., 2 мес.,10 дн.",Мужской,40
SU152061,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа тех.поддержки",Консультант по внедрению,нет,"4 г., 1 мес.,3 дн.",Мужской,40
SU167051,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа аналитиков",Младший системный аналитик,нет,"3 г., 3 мес.,5 дн.",Мужской,25
SU197284,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Инженер-разработчик,нет,"1 г., 1 мес.,19 дн.",Мужской,23
SU98676,Департамент разработки программного обеспечения,Интеграционные решения,группа разработки,Инженер-разработчик,нет,"6 г., 8 мес.,12 дн.",Мужской,30
SU199285,Департамент бизнес-приложений,,Группа консультантов по автоматизации бизнес-процессов,Стажер,нет,"0 г., 3 мес.,14 дн.",Мужской,20
SU1362,Административно-эксплуатационный департамент,Административный отдел,секретариат,Административный ассистент,нет,"20 г., 3 мес.,9 дн.",Женский,44
SU99997,Департамент инженерных и мультимедийных систем,Группа поддержки производства,,"Эксперт, Тимлид",нет,"5 г., 1 мес.,11 дн.",Женский,28
SU195420,Департамент разработки программного обеспечения,"Практика ""Time and Material""",,Младший специалист,нет,"1 г., 10 мес.,19 дн.",Женский,22
SU107761,Департамент инженерных и мультимедийных систем,группа инженеров по мультимедийным системам,,Ведущий инженер,нет,"5 г., 10 мес.,15 дн.",Женский,39
SU196951,Департамент телекоммуникаций,Сервис,Инженеры технической поддержки (аутсорсинг),Инженер технической поддержки,нет,"1 г., 3 мес.,15 дн.",Мужской,39
SU46651,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,"Ведущий инженер, Тимлид",ТЛ,"13 г., 1 мес.,9 дн.",Мужской,35
SU161746,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Инженер-тестировщик,нет,"3 г., 6 мес.,20 дн.",Женский,29
SU42080,Департамент бизнес-приложений,,группа управления и развития бизнеса,Руководитель направления ERP и финансы (1С),нет,"13 г., 10 мес.,5 дн.",Мужской,39
SU39552,Transformation office,,,Старший консультант по трансформации бизнеса,нет,"13 г., 1 мес.,9 дн.",Женский,37
SU194040,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Аналитик SOC,нет,"1 г., 11 мес.,11 дн.",Мужской,34
SU199167,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа технических менеджеров по информационной безопасности,Технический менеджер,нет,"0 г., 4 мес.,6 дн.",Мужской,38
SU196509,Департамент бизнес-приложений,,группа консультантов по технической архитектуре и разработке,Старший консультант по внедрению бизнес-приложений,нет,"1 г., 6 мес.,22 дн.",Мужской,34
SU197029,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы""",Младший инженер-разработчик,нет,"1 г., 3 мес.,8 дн.",Мужской,21
SU199809,Финансовый департамент,,отдел учета товаров и взаиморасчетов с поставщиками,Младший бухгалтер,нет,"0 г., 1 мес.,9 дн.",Женский,18
SU199810,Финансовый департамент,,группа финансовых партнеров,Младший бухгалтер,нет,"0 г., 1 мес.,9 дн.",Женский,18
SU197551,Склад,,,Кладовщик,нет,"1 г., 1 мес.,6 дн.",Мужской,28
SU758,Служба логистики,,,Ведущий менеджер,нет,"20 г., 8 мес.,23 дн.",Женский,50
SU121334,Департамент продаж и менеджмента проектов,,группа управления проектами по телекоммуникациям,Старший менеджер проектов,нет,"5 г., 3 мес.,3 дн.",Мужской,35
SU75251,Департамент бизнес-приложений,группа технических менеджеров по BigData,,Старший технический менеджер,нет,"10 г., 0 мес.,5 дн.",Мужской,39
SU197516,Департамент продаж и менеджмента проектов,,группа управления проектами по телекоммуникациям,Менеджер проектов,нет,"1 г., 1 мес.,6 дн.",Мужской,34
SU177098,Финансовый департамент,отдел налоговой и бухгалтерской отчетности,,Старший бухгалтер,нет,"2 г., 10 мес.,1 дн.",Женский,25
SU199851,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Старший менеджер по продвижению решений,нет,"0 г., 1 мес.,2 дн.",Женский,39
SU198032,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,,Ведущий инженер,нет,"0 г., 9 мес.,16 дн.",Мужской,36
SU199257,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Стажер,нет,"0 г., 3 мес.,6 дн.",Мужской,21
SU199088,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"0 г., 3 мес.,1 дн.",Мужской,36
SU160987,Департамент внутренней автоматизации,,группа разработки инфраструктурных приложений,Инженер-тестировщик,нет,"3 г., 6 мес.,26 дн.",Женский,25
SU198859,Департамент бизнес-приложений,группа поддержки продаж,,Стажер,нет,"0 г., 5 мес.,12 дн.",Женский,23
SU190232,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Дежурный инженер ЦОД,нет,"2 г., 2 мес.,3 дн.",Мужской,22
SU184692,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа сопровождения ИТ-инфраструктур,Инженер,нет,"2 г., 7 мес.,14 дн.",Мужской,26
SU189913,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа аналитиков по информационной безопасности,Системный аналитик,нет,"2 г., 1 мес.,20 дн.",Женский,22
SU199895,Департамент разработки программного обеспечения,Управление контентом и документооборот,,Стажер,нет,"0 г., 0 мес.,24 дн.",Женский,20
SU108799,Отдел дизайна,,,Старший дизайнер,нет,"5 г., 9 мес.,10 дн.",Женский,38
SU1595,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Техник,нет,"17 г., 7 мес.,3 дн.",Мужской,46
SU116169,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,Системный инженер,нет,"5 г., 6 мес.,17 дн.",Мужской,34
SU1603,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа аналитиков и внедренцев,Эксперт,нет,"19 г., 4 мес.,11 дн.",Мужской,39
SU198811,Департамент маркетинга,группа маркетологов,,Менеджер по маркетингу,нет,"0 г., 6 мес.,2 дн.",Женский,34
SU46331,Департамент продаж и менеджмента проектов,,группа администраторов BackOffice,Администратор проектов,нет,"13 г., 2 мес.,8 дн.",Женский,35
SU3442,Департамент избирательных технологий,,,,нет,"30 г., 5 мес.,20 дн.",Мужской,58
SU138283,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа аналитиков и внедренцев,Старший системный аналитик,нет,"4 г., 9 мес.,2 дн.",Женский,45
SU196318,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки СУБД,Ведущий инженер-разработчик,нет,"1 г., 7 мес.,24 дн.",Мужской,29
SU1612,Отдел закупок,,,Менеджер,нет,"17 г., 1 мес.,4 дн.",Мужской,43
SU79317,Департамент инженерных и мультимедийных систем,Группа поддержки производства,,"Эксперт, Главный архитектор проекта",нет,"8 г., 2 мес.,13 дн.",Мужской,45
SU189862,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Инженер-разработчик,нет,"2 г., 2 мес.,10 дн.",Мужской,23
SU158551,Департамент инфраструктурных решений и сервисов,группа клиентского сервиса,,Ведущий специалист,РМ,"3 г., 7 мес.,24 дн.",Женский,24
SU180341,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Младший инженер,нет,"2 г., 10 мес.,4 дн.",Женский,24
SU151957,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа разработчиков,Инженер-разработчик,нет,"4 г., 1 мес.,4 дн.",Мужской,26
SU65648,Департамент продаж и менеджмента проектов,,группа управления проектами и поддержки продаж,Менеджер проектов,нет,"11 г., 4 мес.,22 дн.",Мужской,35
SU199843,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Ведущий технический писатель,нет,"0 г., 0 мес.,25 дн.",Женский,36
SU771,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,"Руководитель направления ""Сервис""",РМ,"16 г., 6 мес.,1 дн.",Женский,37
SU141599,Департамент бизнес-приложений,,Группа разработки по Data и DWH,Старший инженер-разработчик бизнес-приложений,нет,"4 г., 7 мес.,7 дн.",Мужской,25
SU150301,Департамент инженерных и мультимедийных систем,,,Младший финансовый аналитик,нет,"4 г., 1 мес.,22 дн.",Женский,29
SU65368,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Ведущий инженер,нет,"11 г., 6 мес.,3 дн.",Мужской,40
SU2718,Служба охраны,,Группа обслуживания бизнеса,Охранник,нет,"17 г., 1 мес.,19 дн.",Мужской,44
SU199349,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Ведущий инженер-разработчик,нет,"0 г., 2 мес.,20 дн.",Мужской,53
SU135650,Департамент инженерных и мультимедийных систем,Группа систем безопасности,,"Ведущий инженер, Тимлид",ТЛ,"4 г., 10 мес.,15 дн.",Мужской,31
SU196681,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,Специалист по работе с партнерами,нет,"1 г., 5 мес.,10 дн.",Мужской,22
SU40474,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы""",Технический менеджер,ТЛ,"14 г., 3 мес.,24 дн.",Мужской,37
SU1981,Департамент разработки программного обеспечения,,группа развития бизнеса,Заместитель директора департамента по развитию бизнеса,РМ,"17 г., 7 мес.,11 дн.",Мужской,39
SU199703,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Стажер,нет,"0 г., 1 мес.,20 дн.",Мужской,21
SU1617,Департамент продаж и менеджмента проектов,,группа продаж,"Директор по развитию бизнеса в ритейле, Директор по комплексным продажам",нет,"20 г., 9 мес.,13 дн.",Мужской,48
SU174034,Департамент разработки программного обеспечения,Государственные информационные системы,росстат.группа тестировщиков,Инженер-тестировщик,нет,"3 г., 1 мес.,2 дн.",Мужской,26
SU196250,Департамент бизнес-приложений,,группа консультантов по производству,Ведущий консультант по внедрению бизнес-приложений,нет,"1 г., 8 мес.,16 дн.",Мужской,36
SU1620,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа технических менеджеров,"Технический менеджер, Руководитель группы",нет,"17 г., 0 мес.,22 дн.",Мужской,41
SU197093,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Старший дежурный инженер ЦОД,нет,"1 г., 2 мес.,30 дн.",Мужской,22
SU121849,Департамент телекоммуникаций,,группа технических менеджеров,Старший технический менеджер,нет,"5 г., 3 мес.,10 дн.",Мужской,38
SU1626,Департамент продаж и менеджмента проектов,,группа управления проектами по программному консалтингу,Менеджер проектов,нет,"20 г., 3 мес.,24 дн.",Мужской,46
SU162083,Департамент инфраструктурных решений и сервисов,,группа развития и сопровождения частных облаков,Старший менеджер проектов,РМ,"3 г., 6 мес.,11 дн.",Мужской,35
SU198808,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа технических менеджеров по информационной безопасности,Технический менеджер,нет,"0 г., 5 мес.,23 дн.",Мужской,33
SU776,Департамент разработки программного обеспечения,Государственные информационные системы,,Менеджер продукта,нет,"7 г., 1 мес.,25 дн.",Женский,41
SU140839,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"4 г., 7 мес.,2 дн.",Женский,30
SU196315,Департамент продаж и менеджмента проектов,,группа администраторов проектов по ИТ-системам и программным решениям,Администратор проектов,нет,"1 г., 7 мес.,19 дн.",Женский,28
SU199096,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Стажер,нет,"0 г., 4 мес.,21 дн.",Женский,20
SU3347,Финансовый департамент,отдел расчетов с подрядчиками и учета затрат,,"Ведущий бухгалтер, Тимлид отдела расчетов с подрядчиками и поставщиками",ТЛ,"21 г., 2 мес.,21 дн.",Женский,44
SU198023,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Младший технический менеджер,нет,"0 г., 9 мес.,10 дн.",Женский,36
SU189493,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Системный инженер,нет,"2 г., 2 мес.,24 дн.",Женский,22
SU41072,Финансовый департамент,казначейство,,Старший бухгалтер,нет,"14 г., 1 мес.,12 дн.",Женский,36
SU781,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа аналитиков,Ведущий аналитик,нет,"20 г., 3 мес.,12 дн.",Женский,43
SU198004,Департамент продаж и менеджмента проектов,,группа отраслевых решений,Менеджер по продвижению решений,нет,"0 г., 9 мес.,15 дн.",Женский,37
